,verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly
371,Fiber,Fiber,Cable / DSL,2723433-1,TRUE
382,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2723636-1,TRUE
402,Fiber,Fiber,Fiber,2723964-1,TRUE
406,Fiber,Fiber,Other / Uncategorized,2724008-1,TRUE
420,Fiber,Fiber,Fiber,2724133-3,TRUE
429,Fiber,Fiber,Fiber,2724158-1,TRUE
430,Fixed Wireless,Fixed Wireless,Fixed Wireless,2724183-1,TRUE
433,Fixed Wireless,Fixed Wireless,Fixed Wireless,2724183-4,TRUE
434,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2724201-1,TRUE
437,Fiber,Fiber,Cable / DSL,2724225-1,TRUE
440,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2724272-1,TRUE
443,Fiber,Fiber,Fiber,2724320-1,TRUE
444,Copper,Copper,Other / Uncategorized,2724329-1,TRUE
450,Fiber,Fiber,Fiber,2724450-1,TRUE
453,Fiber,Fiber,Fiber,2724500-1,TRUE
454,Fiber,Fiber,Fiber,2724528-1,TRUE
456,Fiber,Fiber,Other / Uncategorized,2724614-1,TRUE
462,Fiber,Fiber,Fiber,2724771-1,TRUE
472,Fiber,Fiber,Cable / DSL,2724931-1,TRUE
473,Fiber,Fiber,Cable / DSL,2724939-1,TRUE
483,Fiber,Fiber,Fiber,2724997-1,TRUE
491,Fiber,Fiber,Fiber,2725153-1,TRUE
496,Copper,Copper,Copper,2725248-1,TRUE
508,Fiber,Fiber,Other / Uncategorized,2725418-1,TRUE
509,Fiber,Fiber,Cable / DSL,2725426-1,TRUE
510,Cable / DSL,Cable / DSL,Cable / DSL,2725439-1,TRUE
511,Cable / DSL,Cable / DSL,Cable / DSL,2725439-2,TRUE
525,Cable / DSL,Cable / DSL,Cable / DSL,2725627-1,TRUE
528,Cable / DSL,Cable / DSL,Cable / DSL,2725688-1,TRUE
534,Fiber,Fiber,Other / Uncategorized,2725768-1,TRUE
535,Fiber,Fiber,Fiber,2725770-1,TRUE
539,Fiber,Fiber,Other / Uncategorized,2725830-1,TRUE
546,Fiber,Fiber,Fiber,2725901-1,TRUE
551,Cable / DSL,Cable / DSL,Cable / DSL,2725983-1,TRUE
560,Fiber,Fiber,Fiber,2726094-2,TRUE
561,Fiber,Fiber,Fiber,2726094-3,TRUE
562,Fiber,Fiber,Fiber,2726112-1,TRUE
569,Fiber,Fiber,Fiber,2726178-1,TRUE
576,Fiber,Fiber,Fiber,2726296-1,TRUE
579,Fiber,Fiber,Other / Uncategorized,2726376-3,TRUE
584,Fiber,Fiber,Fiber,2726406-1,TRUE
590,Cable / DSL,Cable / DSL,Cable / DSL,2726559-1,TRUE
591,Fiber,Fiber,Fiber,2726571-1,TRUE
594,Fixed Wireless,Fixed Wireless,Fixed Wireless,2726591-1,TRUE
595,Copper,Copper,Other / Uncategorized,2726592-1,TRUE
599,Fiber,Fiber,Other / Uncategorized,2726655-2,TRUE
610,Fiber,Fiber,Other / Uncategorized,2726796-1,TRUE
612,Cable / DSL,Cable / DSL,Other / Uncategorized,2726806-1,TRUE
626,Fiber,Fiber,Fiber,2726926-1,TRUE
631,Fiber,Fiber,Fiber,2727027-1,TRUE
633,Fiber,Fiber,Fiber,2727037-1,TRUE
643,Fiber,Fiber,Fiber,2727292-1,TRUE
644,Cable / DSL,Cable / DSL,Cable / DSL,2727333-1,TRUE
655,Fiber,Fiber,Fiber,2727473-1,TRUE
660,Fiber,Fiber,Fiber,2727637-1,TRUE
662,Fiber,Fiber,Other / Uncategorized,2727652-1,TRUE
665,Fiber,Fiber,Fiber,2727686-2,TRUE
672,Other / Uncategorized,Other / Uncategorized,Fiber,2727760-1,TRUE
676,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2727863-1,TRUE
677,Fiber,Fiber,Fiber,2727899-1,TRUE
689,Fiber,Fiber,Fiber,2728145-1,TRUE
692,Fiber,Fiber,Fiber,2728198-1,TRUE
696,Fiber,Fiber,Fiber,2728240-1,TRUE
701,Fiber,Fiber,Other / Uncategorized,2728314-1,TRUE
705,Fiber,Fiber,Fiber,2728427-1,TRUE
707,Fiber,Fiber,Fiber,2728458-1,TRUE
711,Fiber,Fiber,Fiber,2728464-2,TRUE
718,Fiber,Fiber,Fiber,2728613-3,TRUE
728,Fiber,Fiber,Fiber,2728668-1,TRUE
737,Fiber,Fiber,Fiber,2728731-1,TRUE
740,Fiber,Fiber,Other / Uncategorized,2728745-4,TRUE
741,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2728746-1,TRUE
754,Fiber,Fiber,Fiber,2728999-1,TRUE
757,Fiber,Fiber,Other / Uncategorized,2729045-1,TRUE
770,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2729156-1,TRUE
771,Cable / DSL,Cable / DSL,Cable / DSL,2729158-1,TRUE
772,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2729162-1,TRUE
777,Fiber,Fiber,Fiber,2729209-1,TRUE
781,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2729329-1,TRUE
783,Fiber,Fiber,Other / Uncategorized,2729336-1,TRUE
784,Fiber,Fiber,Fiber,2729344-1,TRUE
789,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2729390-1,TRUE
802,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2729564-1,TRUE
820,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2729797-2,TRUE
823,Fiber,Fiber,Fiber,2729826-1,TRUE
825,Fiber,Fiber,Fiber,2729830-1,TRUE
826,Fiber,Fiber,Fiber,2729831-1,TRUE
828,Fiber,Fiber,Fiber,2729835-1,TRUE
870,Fiber,Fiber,Other / Uncategorized,2730532-1,TRUE
871,Fiber,Fiber,Fiber,2730576-1,TRUE
887,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2730880-1,TRUE
888,Copper,Copper,Copper,2730883-1,TRUE
891,Fiber,Fiber,Fiber,2730996-1,TRUE
896,Fiber,Fiber,Fiber,2731115-1,TRUE
930,Fiber,Fiber,Other / Uncategorized,2731985-1,TRUE
941,Cable / DSL,Cable / DSL,Cable / DSL,2732198-1,TRUE
944,Fiber,Fiber,Other / Uncategorized,2732209-1,TRUE
945,Fiber,Fiber,Other / Uncategorized,2732209-2,TRUE
948,Fiber,Fiber,Fiber,2732218-1,TRUE
952,Cable / DSL,Cable / DSL,Cable / DSL,2732236-1,TRUE
968,Fiber,Fiber,Fiber,2732527-1,TRUE
971,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2732537-1,TRUE
984,Fiber,Fiber,Other / Uncategorized,2732824-1,TRUE
985,Fiber,Fiber,Fiber,2732835-1,TRUE
989,Fiber,Fiber,Fiber,2732960-4,TRUE
1004,Copper,Copper,Copper,2733172-1,TRUE
1006,Fiber,Fiber,Fiber,2733175-1,TRUE
1011,Fiber,Fiber,Fiber,2733312-1,TRUE
1013,Fiber,Fiber,Fiber,2733329-1,TRUE
1014,Fiber,Fiber,Cable / DSL,2733345-1,TRUE
1017,Fiber,Fiber,Fiber,2733386-1,TRUE
1019,Fiber,Fiber,Fiber,2733531-2,TRUE
1022,Fiber,Fiber,Fiber,2733543-11,TRUE
1023,Fiber,Fiber,Fiber,2733543-12,TRUE
1026,Fiber,Fiber,Fiber,2733543-15,TRUE
1027,Fiber,Fiber,Fiber,2733543-2,TRUE
1030,Fiber,Fiber,Fiber,2733543-5,TRUE
1037,Fiber,Fiber,Fiber,2733553-1,TRUE
1045,Copper,Copper,Other / Uncategorized,2733653-1,TRUE
1058,Fiber,Fiber,Fiber,2733849-1,TRUE
1063,Copper,Copper,Other / Uncategorized,2733936-1,TRUE
1067,Cable / DSL,Cable / DSL,Cable / DSL,2734010-1,TRUE
1071,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2734069-1,TRUE
1086,Cable / DSL,Cable / DSL,Cable / DSL,2734151-1,TRUE
1089,Fiber,Fiber,Other / Uncategorized,2734239-1,TRUE
1096,Fiber,Fiber,Fiber,2734345-1,TRUE
1097,Fiber,Fiber,Fiber,2734348-2,TRUE
1108,Fiber,Fiber,Fiber,2734523-1,TRUE
1112,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2734593-1,TRUE
1128,Fiber,Fiber,Fiber,2734716-1,TRUE
1131,Fiber,Fiber,Fiber,2734779-1,TRUE
1140,Fiber,Fiber,Fiber,2734794-1,TRUE
1141,Fiber,Fiber,Fiber,2734838-1,TRUE
1167,Fiber,Fiber,Other / Uncategorized,2735006-1,TRUE
1171,Fiber,Fiber,Fiber,2735114-1,TRUE
1172,Fiber,Fiber,Fiber,2735114-2,TRUE
1186,Fiber,Fiber,Fiber,2735284-1,TRUE
1189,Fiber,Fiber,Fiber,2735354-1,TRUE
1190,Fiber,Fiber,Fiber,2735354-2,TRUE
1199,Fiber,Fiber,Fiber,2735532-1,TRUE
1203,Fiber,Fiber,Other / Uncategorized,2735580-1,TRUE
1211,Fiber,Fiber,Other / Uncategorized,2735652-1,TRUE
1212,Fiber,Fiber,Other / Uncategorized,2735653-1,TRUE
1220,Fiber,Fiber,Other / Uncategorized,2735745-1,TRUE
1227,Fiber,Fiber,Fiber,2735895-1,TRUE
1229,Copper,Copper,Copper,2735917-1,TRUE
1237,Fixed Wireless,Fixed Wireless,Fixed Wireless,2736107-1,TRUE
1239,Cable / DSL,Cable / DSL,Other / Uncategorized,2736154-1,TRUE
1245,Fiber,Fiber,Fiber,2736209-1,TRUE
1248,Fiber,Fiber,Fiber,2736220-1,TRUE
1265,Fiber,Fiber,Fiber,2736516-2,TRUE
1266,Cable / DSL,Cable / DSL,Cable / DSL,2736557-1,TRUE
1270,Fiber,Fiber,Fiber,2736564-1,TRUE
1271,Fiber,Fiber,Fiber,2736564-2,TRUE
1274,Fiber,Fiber,Fiber,2736564-5,TRUE
1275,Cable / DSL,Cable / DSL,Cable / DSL,2736585-1,TRUE
1278,Fiber,Fiber,Other / Uncategorized,2736664-1,TRUE
1282,Other / Uncategorized,Other / Uncategorized,Fiber,2736739-1,TRUE
1289,Fiber,Fiber,Fiber,2736830-1,TRUE
1294,Fiber,Fiber,Fiber,2736861-1,TRUE
1308,Fiber,Fiber,Other / Uncategorized,2737140-1,TRUE
1313,Fiber,Fiber,Cable / DSL,2737256-1,TRUE
1319,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2737300-1,TRUE
1323,Copper,Copper,Copper,2737346-1,TRUE
1329,Fiber,Fiber,Other / Uncategorized,2737434-1,TRUE
1330,Fiber,Fiber,Fiber,2737438-1,TRUE
1331,Fiber,Fiber,Other / Uncategorized,2737439-1,TRUE
1338,Fiber,Fiber,Other / Uncategorized,2737591-1,TRUE
1342,Fiber,Fiber,Fiber,2737642-1,TRUE
1345,Fiber,Fiber,Fiber,2737786-1,TRUE
1348,Fiber,Fiber,Fiber,2737825-1,TRUE
1361,Fiber,Fiber,Fiber,2738174-1,TRUE
1365,Fiber,Fiber,Cable / DSL,2738240-1,TRUE
1367,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2738281-1,TRUE
1369,Fixed Wireless,Fixed Wireless,Fixed Wireless,2738293-1,TRUE
1374,Cable / DSL,Cable / DSL,Cable / DSL,2738350-1,TRUE
1376,Cable / DSL,Cable / DSL,Other / Uncategorized,2738383-1,TRUE
1390,Fiber,Fiber,Fiber,2738559-1,TRUE
1396,Fiber,Fiber,Other / Uncategorized,2738696-1,TRUE
1398,Fixed Wireless,Fixed Wireless,Fixed Wireless,2738751-1,TRUE
1399,Fiber,Fiber,Fiber,2738759-1,TRUE
1400,Fiber,Fiber,Fiber,2738776-1,TRUE
1413,Fiber,Fiber,Other / Uncategorized,2738895-1,TRUE
1417,Fiber,Fiber,Fiber,2738936-1,TRUE
1423,Fiber,Fiber,Fiber,2739050-1,TRUE
1426,Fiber,Fiber,Fiber,2739050-4,TRUE
1429,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2739122-1,TRUE
1438,Fiber,Fiber,Fiber,2739263-1,TRUE
1442,Fiber,Fiber,Cable / DSL,2739336-1,TRUE
1445,Fiber,Fiber,Cable / DSL,2739427-1,TRUE
1447,Fixed Wireless,Fixed Wireless,Fixed Wireless,2739431-1,TRUE
1450,Cable / DSL,Cable / DSL,Other / Uncategorized,2739541-1,TRUE
1454,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2739580-1,TRUE
1469,Fiber,Fiber,Fiber,2739725-2,TRUE
1484,Cable / DSL,Cable / DSL,Other / Uncategorized,2739925-2,TRUE
1485,Fiber,Fiber,Fiber,2739931-1,TRUE
1490,Other / Uncategorized,Other / Uncategorized,Fiber,2740020-1,TRUE
1493,Fiber,Fiber,Fiber,2740033-1,TRUE
1494,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2740044-1,TRUE
1500,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2740044-6,TRUE
1503,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2740044-9,TRUE
1523,Fiber,Fiber,Fiber,2740261-1,TRUE
1526,Fiber,Fiber,Fiber,2740280-2,TRUE
1527,Fiber,Fiber,Fiber,2740282-1,TRUE
1532,Fiber,Fiber,Fiber,2740326-1,TRUE
1533,Fiber,Fiber,Fiber,2740336-1,TRUE
1534,Fiber,Fiber,Other / Uncategorized,2740380-1,TRUE
1543,Fiber,Fiber,Fiber,2740491-1,TRUE
1546,Fiber,Fiber,Other / Uncategorized,2740517-2,TRUE
1547,Fiber,Fiber,Fiber,2740536-1,TRUE
1548,Fiber,Fiber,Other / Uncategorized,2740545-1,TRUE
1552,Fiber,Fiber,Fiber,2740601-1,TRUE
1554,Cable / DSL,Cable / DSL,Cable / DSL,2740669-1,TRUE
1564,Fiber,Fiber,Fiber,2740957-1,TRUE
1566,Copper,Copper,Copper,2740957-3,TRUE
1579,Fiber,Fiber,Fiber,2741085-1,TRUE
1582,Fiber,Fiber,Other / Uncategorized,2741137-1,TRUE
1589,Cable / DSL,Cable / DSL,Cable / DSL,2741232-1,TRUE
1596,Fiber,Fiber,Fiber,2741275-1,TRUE
1600,Fiber,Fiber,Fiber,2741312-1,TRUE
1604,Fiber,Fiber,Fiber,2741393-1,TRUE
1610,Fiber,Fiber,Fiber,2741484-1,TRUE
1613,Fiber,Fiber,Other / Uncategorized,2741521-1,TRUE
1633,Fiber,Fiber,Fiber,2741751-1,TRUE
1642,Fiber,Fiber,Other / Uncategorized,2741833-1,TRUE
1662,Cable / DSL,Cable / DSL,Cable / DSL,2742088-1,TRUE
1687,Fiber,Fiber,Other / Uncategorized,2742381-1,TRUE
1690,Fixed Wireless,Fixed Wireless,Fixed Wireless,2742417-1,TRUE
1693,Fiber,Fiber,Other / Uncategorized,2742448-2,TRUE
1715,Fiber,Fiber,Fiber,2742783-1,TRUE
1720,Fiber,Fiber,Fiber,2742829-2,TRUE
1721,Fiber,Fiber,Other / Uncategorized,2742842-1,TRUE
1723,Fiber,Fiber,Fiber,2742848-2,TRUE
1742,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2743124-1,TRUE
1753,Copper,Copper,Copper,2743181-1,TRUE
1762,Fiber,Fiber,Fiber,2743330-1,TRUE
1767,Cable / DSL,Cable / DSL,1,2743499-1,TRUE
1769,Fiber,Fiber,Other / Uncategorized,2743553-1,TRUE
1776,Fiber,Fiber,Other / Uncategorized,2743631-1,TRUE
1781,Fiber,Fiber,Other / Uncategorized,2743702-1,TRUE
1788,Fiber,Fiber,Fiber,2743767-1,TRUE
1795,Copper,Copper,Copper,2743853-1,TRUE
1798,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2743958-1,TRUE
1800,Fiber,Fiber,Fiber,2744004-1,TRUE
1811,Fiber,Fiber,Other / Uncategorized,2744179-1,TRUE
1812,Fiber,Fiber,Other / Uncategorized,2744179-2,TRUE
1818,Cable / DSL,Cable / DSL,Cable / DSL,2744301-1,TRUE
1819,Fiber,Fiber,Other / Uncategorized,2744303-1,TRUE
1826,Fiber,Fiber,Fiber,2744615-1,TRUE
1829,Fiber,Fiber,Fiber,2744668-1,TRUE
1839,Fiber,Fiber,Fiber,2744730-1,TRUE
1840,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2744731-1,TRUE
1846,Fiber,Fiber,Other / Uncategorized,2744757-1,TRUE
1849,Fiber,Fiber,Fiber,2744781-1,TRUE
1850,Other / Uncategorized,Other / Uncategorized,Fiber,2744783-1,TRUE
1862,Fiber,Fiber,Fiber,2744846-2,TRUE
1875,Cable / DSL,Cable / DSL,Cable / DSL,2745055-1,TRUE
1876,Copper,Copper,Copper,2745080-1,TRUE
1877,Fixed Wireless,Fixed Wireless,Fixed Wireless,2745099-1,TRUE
1894,Fiber,Fiber,Fiber,2745541-1,TRUE
1895,Cable / DSL,Cable / DSL,Other / Uncategorized,2745546-1,TRUE
1896,Fiber,Fiber,Fiber,2745573-1,TRUE
1897,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2745589-1,TRUE
1905,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2745652-1,TRUE
1915,Fiber,Fiber,Fiber,2745881-2,TRUE
1921,Fiber,Fiber,Fiber,2745909-1,TRUE
1933,Fiber,Fiber,Fiber,2746083-1,TRUE
1934,Cable / DSL,Cable / DSL,Cable / DSL,2746088-1,TRUE
1949,Fiber,Fiber,Other / Uncategorized,2746387-1,TRUE
1951,Cable / DSL,Cable / DSL,Cable / DSL,2746409-1,TRUE
1958,Fiber,Fiber,Fiber,2746463-1,TRUE
1964,Fixed Wireless,Fixed Wireless,Fixed Wireless,2746526-1,TRUE
1969,Fiber,Fiber,Other / Uncategorized,2746540-1,TRUE
1977,Fiber,Fiber,Fiber,2746629-1,TRUE
1989,Fiber,Fiber,Fiber,2746777-1,TRUE
1992,Fiber,Fiber,Fiber,2746803-1,TRUE
1993,Fiber,Fiber,Fiber,2746808-1,TRUE
1999,Fiber,Fiber,Fiber,2746884-1,TRUE
2002,Fiber,Fiber,Fiber,2746896-1,TRUE
2003,Fiber,Fiber,Fiber,2746896-2,TRUE
2008,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2746948-1,TRUE
2009,Fiber,Fiber,Fiber,2747039-1,TRUE
2012,Fiber,Fiber,Fiber,2747176-3,TRUE
2019,Fiber,Fiber,Fiber,2747244-1,TRUE
2033,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2747356-1,TRUE
2035,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2747384-1,TRUE
2051,Cable / DSL,Cable / DSL,Other / Uncategorized,2747577-1,TRUE
2052,Fiber,Fiber,Fiber,2747598-1,TRUE
2056,Fiber,Fiber,Fiber,2747680-1,TRUE
2058,Cable / DSL,Cable / DSL,Cable / DSL,2747712-1,TRUE
2060,Copper,Copper,Other / Uncategorized,2747747-1,TRUE
2074,Fiber,Fiber,Fiber,2747974-1,TRUE
2078,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2748001-1,TRUE
2084,Cable / DSL,Cable / DSL,Cable / DSL,2748157-1,TRUE
2086,Fiber,Fiber,Fiber,2748225-1,TRUE
2098,Fiber,Fiber,Fiber,2748723-1,TRUE
2106,Cable / DSL,Cable / DSL,Cable / DSL,2748890-1,TRUE
2112,Fiber,Fiber,Fiber,2748995-1,TRUE
