bigram,count
"('due', 'leased')",6
"('provider', 'spin')",6
"('provider', 'sp')",6
"('highest', 'weighted')",6
"('changed', 'month')",6
"('16050366', '16054291')",6
"('telephone', 'company')",6
"('state', 'competitive')",6
"('request', 'pricing')",5
"('program', 'fcc')",5
"('nslp', 'data')",5
"('services', 'evaluation')",5
"('determine', 'needs')",5
"('service', 'voice')",5
"('property', 'tax')",5
"('rn', 'billed')",5
"('school', 'verification')",5
"('reasonably', 'determine')",5
"('additional', 'fiber')",5
"('containing', 'specific')",5
"('enable', 'prospective')",5
"('access', '2')",5
"('failed', 'inform')",5
"('equipment', 'fee')",5
"('quantity', 'capacity')",5
"('establishing', 'form')",5
"('enable', 'potential')",5
"('requested', 'amount')",5
"('added', 'request')",5
"('project', 'services')",5
"('reported', 'previous')",5
"('describes', 'project')",5
"('details', 'inform')",5
"('bids', 'applicant’s')",5
"('voluntary', 'contract')",5
"('details', 'related')",5
"('rn', 'therefore')",5
"('year', 'dr3')",5
"('requested', 'discount')",5
"('addendum', 'added')",5
"('eligible', 'ineligible')",5
"('entity', 'validation')",5
"('rfp', 'containing')",5
"('16073149', 'provide')",5
"('bidding', 'rules')",5
"('mr1', 'number')",5
"('project', 'undertaken')",5
"('quantity', 'lines')",5
"('services', 'fcc')",5
"('demonstrate', 'requested')",5
"('providers', 'rfp')",5
"('bidders', 'scope')",5
"('never', 'received')",5
"('approved', 'submitted')",5
"('provider', 'therefore')",5
"('request', 'campus')",5
"('1', '022')",5
"('evaluation', 'worksheet')",5
"('biblioteca', 'satélite')",5
"('143008823', 'sbc')",5
"('cannot', 'used')",5
"('applicants', '“submit')",5
"('capacity', 'funding')",5
"('requirements', 'project')",5
"('applicants', 'must')",5
"('criteria', 'used')",5
"('form', 'enable')",5
"('applicant', 'since')",5
"('current', 'fcc')",5
"('entity', '16073149')",5
"('rules', 'therefore')",5
"('current', 'funding')",5
"('count', 'frn')",5
"('released', 'describes')",5
"('provide', 'copies')",5
"('entities', 'receive')",5
"('existed', 'review')",5
"('related', 'particular')",5
"('fiber', 'lit')",5
"('cables', 'contains')",5
"('sbc', 'long')",5
"('selected', 'service')",5
"('call', 'waiting')",5
"('communications', 'commission')",5
"('competing', 'service')",5
"('award', 'contract')",5
"('yes', 'dark')",5
"('available', 'products')",5
"('modified', '5')",5
"('needs', 'applicant')",5
"('documentation', 'establishing')",5
"('providers', 'evaluate”')",5
"('required', 'requested')",5
"('costs', 'eligible')",5
"('federal', 'communications')",5
"('formulate', 'bids')",5
"('scope', 'location')",5
"('provider', 'mr1')",5
"('distance', 'llc')",5
"('mr1', 'approved')",5
"('dr2', 'contract')",5
"('evaluate”', 'formulate')",5
"('provided', 'document')",5
"('days', 'selected')",5
"('bidders', 'likely')",5
"('service', 'remaining')",5
"('contains', 'sufficient')",5
"('“submit', 'complete')",5
"('bidders', 'reasonably')",5
"('document', 'titled')",5
"('“technical', 'specifications”')",5
"('provide', 'fcc')",5
"('advised', 'potential')",5
"('documentation', 'never')",5
"('define', 'specific')",5
"('must', 'clearly')",5
"('requested', 'furthermore')",5
"('cited', 'specify')",5
"('different', 'contract')",5
"('requested', 'mr1')",5
"('frn', '1699114657')",5
"('05', 'per')",5
"('dsl', 'internet')",5
"('16082681', 'ineligible')",5
"('frn', '16082681')",5
"('dr3', 'frn')",5
"('cellular', 'phone')",5
"('provider', 'contact')",5
"('document', 'identified')",5
"('amount', 'requested')",5
"('document', 'released')",5
"('request', 'ineligible')",5
"('evaluation', 'fcc')",5
"('provider', '143008823')",5
"('service', 'justified')",5
"('fiber', 'cables')",5
"('frn', '1699083545')",5
"('date', 'current')",5
"('provided', 'violation')",5
"('date', 'reported')",5
"('clearly', 'define')",5
"('amount', '4')",5
"('specific', 'details')",5
"('pri', 'service')",5
"('470', 'lit')",5
"('470', 'leased')",5
"('order', 'conduct')",5
"('information', 'enable')",5
"('included', 'cost')",5
"('time', 'charge')",5
"('470', 'inform')",5
"('70', 'month')",5
"('470', 'filed')",5
"('include', 'quantity')",5
"('470', 'document')",5
"('location', 'requirements')",5
"('pri', 'voice')",5
"('split', 'order')",5
"('undertaken', 'contains')",5
"('item', 'ineligible')",5
"('spin', 'change')",5
"('used', 'vendor')",5
"('470', 'advised')",5
"('sufficient', 'details')",5
"('item', 'entity')",5
"('information', 'specifically')",5
"('particular', 'services')",5
"('2', 'additional')",5
"('identical', 'contract')",5
"('funding', 'sought')",5
"('18', '2016')",5
"('process', 'fcc')",5
"('indicated', 'form')",5
"('funding', 'e')",5
"('listed', 'fcc')",5
"('llc', 'spin')",5
"('operations', 'listed')",5
"('ineligible', 'mr1')",5
"('independent', 'school')",5
"('titled', '“technical')",5
"('471', 'leased')",5
"('time', 'students')",5
"('functions', 'provided')",5
"('471', 'identical')",5
"('functions', 'include')",5
"('process', 'cost')",5
"('471', 'different')",5
"('furthermore', 'document')",5
"('full', 'time')",5
"('previous', 'year')",5
"('item', 'pots')",5
"('item', 'oc')",5
"('identified', 'criteria')",5
"('voice', 'frn')",5
"('number', 'fcc')",5
"('issued', 'referenced')",5
"('pricing', '2')",5
"('43', 'per')",5
"('2018', 'agree')",5
"('services', 'indicated')",5
"('products', 'service')",5
"('services', 'included')",5
"('sought', 'fcc')",5
"('likely', 'rfp')",5
"('specifications”', 'contains')",5
"('40', 'month')",5
"('400', '00')",5
"('phone', 'services')",5
"('specify', 'services')",5
"('prices', 'available')",5
"('considered', 'part')",4
"('result', 'usac')",4
"('relative', 'implementation')",4
"('16059742', '16059745')",4
"('primary', 'consideration')",4
"('17006374', '17006375')",4
"('two', 'budget')",4
"('16085064', '16082813')",4
"('relationship', 'requested')",4
"('17006358', '17006359')",4
"('service', 'additional')",4
"('two', 'eligibility')",4
"('specifically', 'asked')",4
"('considered', 'since')",4
"('17006303', '17006304')",4
"('17006357', '17006358')",4
"('yes', 'maintenance')",4
"('response', 'period')",4
"('17006299', '17006303')",4
"('modified', '15')",4
"('month', 'mtm')",4
"('16082813', '17006787')",4
"('17006379', '17006380')",4
"('17006375', '17006378')",4
"('17006378', '17006379')",4
"('modified', 'dark')",4
"('recovery', 'fee')",4
"('17006359', '17006360')",4
"('17006360', '17006361')",4
"('modified', '139')",4
"('16059745', '17009994')",4
"('item', 'verification')",4
"('rest', 'w')",4
"('50', 'lines')",4
"('1', '018')",4
"('entities', '16051175')",4
"('enrollment', 'policy')",4
"('total', 'eligible')",4
"('state', 'laws')",4
"('recurring', 'charges')",4
"('17006361', '17006362')",4
"('17006304', '17006305')",4
"('500', 'per')",4
"('ben', '16071184')",4
"('17006364', '17006365')",4
"('17006371', '17006374')",4
"('following', 'entities')",4
"('effectiveness', 'funding')",4
"('laws', 'result')",4
"('needed', 'validate')",4
"('part', 'time”')",4
"('213', '20')",4
"('spin', 'changes')",4
"('mr2', 'lines')",4
"('id', 'bus')",4
"('modified', '4')",4
"('implementation', 'utilization')",4
"('spin', '143046663')",4
"('1', '445')",4
"('ii', 'entity')",4
"('contract', 'extended')",4
"('contract', 'extension')",4
"('legal', 'entities')",4
"('contract', 'indicates')",4
"('isdn', 'cellular')",4
"('separate', 'legal')",4
"('1699143853', 'denied')",4
"('17006365', '17006366')",4
"('speed', 'dedicated')",4
"('eligibility', 'could')",4
"('selection', 'fcc')",4
"('inc', 'dr2')",4
"('usac', 'could')",4
"('17006356', '17006357')",4
"('lease', 'request')",4
"('parent', 'entity')",4
"('following', 'services')",4
"('uploaded', 'thus')",4
"('2017', 'agree')",4
"('60', 'points')",4
"('eligible', 'apply')",4
"('17006369', '17006371')",4
"('520', '00')",4
"('effective', 'offering')",4
"('17006298', '17008909')",4
"('1', '120')",4
"('application', 'certified')",4
"('late', 'payment')",4
"('selected', 'bid')",4
"('17006296', '17006299')",4
"('correct', 'therefore')",4
"('application', 'mr2')",4
"('17006362', '17006364')",4
"('application', 'parent')",4
"('whether', 'following')",4
"('17006366', '17006369')",4
"('17006295', '17006296')",4
"('respond', 'within')",4
"('17006424', '17006425')",4
"('mr3', 'amount')",4
"('indicates', 'contract')",4
"('17006330', '17006331')",4
"('16075783', 'meet')",4
"('campus', 'recognized')",4
"('campus', 'ineligible')",4
"('campus', 'denied')",4
"('17006338', '17006340')",4
"('period', 'request')",4
"('information', 'within')",4
"('information', 'vendor')",4
"('17006340', '17006341')",4
"('entity’s', 'category')",4
"('period', 'date')",4
"('charges', '1')",4
"('17006341', '17006342')",4
"('17006342', '17006349')",4
"('17006349', '17006350')",4
"('calculation', 'correct')",4
"('32', 'lines')",4
"('information', 'relative')",4
"('17006329', '17006330')",4
"('expiration', '28')",4
"('school', 'buses')",4
"('470', 'certified')",4
"('buses', 'ineligible')",4
"('item', 'fiber')",4
"('extended', 'without')",4
"('extension', 'requested')",4
"('therefore', '“total')",4
"('school', 'enrollment')",4
"('445', '97')",4
"('evaluation', 'usac')",4
"('support', 'charges')",4
"('41', 'per')",4
"('certified', 'prior')",4
"('certified', 'created')",4
"('within', 'allotted')",4
"('within', '15')",4
"('frn', 'entity')",4
"('rules', 'dr3')",4
"('17006332', '17006333')",4
"('17006333', '17006335')",4
"('multimegabit', 'data')",4
"('cellular', 'voip')",4
"('internet', 'frn')",4
"('cellular', 'services')",4
"('changed', '5')",4
"('points', 'evaluation')",4
"('17006337', '17006338')",4
"('evaluation', 'provided')",4
"('cell', 'data')",4
"('17006335', '17006336')",4
"('support', 'funding')",4
"('policy', 'information')",4
"('17006336', '17006337')",4
"('item', 'bill')",4
"('001', 'includes')",4
"('rico', 'public')",4
"('cards', 'eligible')",4
"('17006331', '17006332')",4
"('san', 'juan')",4
"('436', '40')",4
"('children', 'entities')",4
"('item', 'fy2017')",4
"('17006327', '17006329')",4
"('entities', 'state')",4
"('time”', 'entities')",4
"('003', 'modified')",4
"('recognized', 'separate')",4
"('471', 'indicated')",4
"('failed', 'properly')",4
"('17006309', '17006310')",4
"('004', 'includes')",4
"('17006307', '17006309')",4
"('entity', '16049993')",4
"('17006306', '17006307')",4
"('quantity', '1')",4
"('004', 'modified')",4
"('students', 'used')",4
"('education', 'agency')",4
"('mr3', 'frn')",4
"('failure', 'provide')",4
"('commonwealth', 'puerto')",4
"('communicated', 'school')",4
"('17006305', '17006306')",4
"('toll', 'free')",4
"('must', 'select')",4
"('item', 'selective')",4
"('toll', 'rest')",4
"('17006353', '17006354')",4
"('16071184', 'result')",4
"('17006354', '17006356')",4
"('pots', 'isdn')",4
"('bid', 'responsive')",4
"('17006310', '17006311')",4
"('17006311', '17006314')",4
"('17006326', '17006327')",4
"('3', 'lines')",4
"('budget', 'calculation')",4
"('broadband', 'unlimited')",4
"('month', '154')",4
"('17006325', '17006326')",4
"('17006350', '17006351')",4
"('without', 'extension')",4
"('thus', 'violating')",4
"('per', 'mo')",4
"('rfp', 'applicable')",4
"('30', '2019')",4
"('17006323', '17006325')",4
"('30', '2018')",4
"('17006351', '17006352')",4
"('17006322', '17006323')",4
"('17006314', '17006315')",4
"('time', 'cost')",4
"('time', 'part')",4
"('3', '743')",4
"('bill', 'local')",4
"('3', '600')",4
"('003', 'includes')",4
"('17006319', '17006322')",4
"('17006317', '17006319')",4
"('139', '436')",4
"('17006352', '17006353')",4
"('17006315', '17006317')",4
"('entity', '16085064')",4
"('times', 'greater')",4
"('students', 'full')",4
"('switched', 'multimegabit')",4
"('17006380', '17006381')",4
"('2', '2016')",4
"('dr2', 'description')",4
"('request', 'mr1')",4
"('17006415', '17006417')",4
"('service', 'offering')",4
"('number', 'frn')",4
"('requested', 'parent')",4
"('requested', 'number')",4
"('2', '500')",4
"('024', '96')",4
"('day', 'response')",4
"('accurately', 'reflect')",4
"('days', 'posting')",4
"('documentation', 'local')",4
"('17006414', '17006415')",4
"('17006413', '17006414')",4
"('037', '64')",4
"('since', 'category')",4
"('17006396', '17006398')",4
"('days', 'therefore')",4
"('17006412', '17006413')",4
"('determined', 'dr2')",4
"('determine', 'whether')",4
"('frn', '1699143853')",4
"('offering', 'bids')",4
"('lines', 'services')",4
"('17006417', '17006419')",4
"('15', 'day')",4
"('17009994', 'meet')",4
"('product', 'services')",4
"('17006388', '17006390')",4
"('utilization', 'internet')",4
"('2', 'caller')",4
"('discount', 'percentage')",4
"('16049993', 'requested')",4
"('data', 'services')",4
"('17006425', '17006426')",4
"('fy2017', 'form')",4
"('17006390', '17006391')",4
"('17008909', '17007194')",4
"('services', 'agree')",4
"('17006420', '17006422')",4
"('number', 'full')",4
"('requested', 'referenced')",4
"('17006391', '17006394')",4
"('date', '6')",4
"('frn', 'pots')",4
"('2', '800')",4
"('17006394', '17006396')",4
"('743', '10')",4
"('lines', 'per')",4
"('17006419', '17006420')",4
"('determine', 'eligible')",4
"('w', '800')",4
"('decreased', '0')",4
"('17006405', '17006406')",4
"('operations', 'associated')",4
"('179905760', '004')",4
"('800', 'access')",4
"('179905760', '003')",4
"('808', '36')",4
"('1699100956', '003')",4
"('maintenance', 'amp')",4
"('non', 'published')",4
"('mobile', 'share')",4
"('requested', 'children')",4
"('administrator', 'information')",4
"('request', 'video')",4
"('dr1', '8')",4
"('share', 'value')",4
"('17006408', '17006409')",4
"('17006409', '17006410')",4
"('17006411', '17006412')",4
"('process', 'used')",4
"('1699100956', '002')",4
"('1699100956', '001')",4
"('operation', 'listed')",4
"('frontier', 'communications')",4
"('17006410', '17006411')",4
"('17006406', '17006408')",4
"('provide', 'information')",4
"('allotted', 'time')",4
"('requested', 'etc')",4
"('requested', 'leased')",4
"('88', 'service')",4
"('17006398', '17006402')",4
"('10', '2016')",4
"('allocation', 'ineligible')",4
"('requested', 'information')",4
"('video', 'conferencing')",4
"('1', '037')",4
"('021', '64')",4
"('request', 'specifically')",4
"('demonstrate', 'cost')",4
"('17006402', '17006403')",4
"('service', 'request')",4
"('“total', 'number')",4
"('frn', '17006295')",4
"('1699100956', '004')",4
"('dr1', 'price')",4
"('request', 'vendor')",4
"('local', 'ld')",4
"('17006403', '17006405')",4
"('provide', 'rfp')",4
"('demonstrates', 'price')",4
"('provide', 'requested')",4
"('17006422', '17006423')",4
"('voip', 'services')",4
"('frns', 'application')",4
"('number', 'phone')",4
"('17006428', '17006429')",4
"('17006427', '17006428')",4
"('17006434', '17006298')",4
"('request', 'dr2')",4
"('documentation', 'cellular')",4
"('applicable', 'violation')",4
"('17006787', 'decreased')",4
"('violating', 'program')",4
"('documentation', 'duplicate')",4
"('96', 'month')",4
"('duplicate', 'frns')",4
"('proficient', 'telecom')",4
"('1699114657', 'maintenance')",4
"('monthly', 'requested')",4
"('service', 'cellular')",4
"('frn', '16059742')",4
"('amp', 'operations')",4
"('frn', '16075783')",4
"('used', 'entity’s')",4
"('17006433', '17006434')",4
"('17006431', '17006433')",4
"('line', '50')",4
"('17006429', '17006430')",4
"('absent', 'extenuating')",4
"('line', '5')",4
"('200', '00')",4
"('17006430', '17006431')",4
"('website', 'thus')",4
"('documentation', 'demonstrate')",4
"('services', 'dsl')",4
"('line', '32')",4
"('document', 'support')",4
"('mo', 'remove')",4
"('154', '213')",4
"('frn', 'form')",4
"('request', 'determine')",4
"('heavily', 'weighted')",4
"('service', 'caller')",4
"('access', 'allowed')",4
"('17006384', '17006385')",4
"('17006386', '17006388')",4
"('services', 'however')",4
"('ec', 'acquisition')",4
"('frame', 'frn')",4
"('could', 'verify')",4
"('17006423', '17006424')",4
"('17006385', '17006386')",4
"('could', 'determined')",4
"('usage', 'ineligible')",4
"('service', 'fiber')",4
"('1', '021')",4
"('services', 'heavily')",4
"('number', 'students')",4
"('17006426', '17006427')",4
"('120', '00')",4
"('access', 'requested')",4
"('distance', 'learning')",4
"('products', 'requested')",4
"('requests', 'school')",4
"('2004', 'mr1')",4
"('amp', 'data')",4
"('count', 'modified')",4
"('verify', 'requested')",4
"('solicit', 'bids')",4
"('160511176', '16083172')",4
"('17006382', '17006383')",4
"('used', 'solicit')",4
"('17006383', '17006384')",4
"('16051175', '160511176')",4
"('17006381', '17006382')",4
"('17007194', 'eligible')",4
"('cites', 'jon')",3
"('tiers', 'multi')",3
"('dr1', '10')",3
"('item', 'mpls')",3
"('16072034', 'yeshivaday')",3
"('tabulation', 'analysis')",3
"('detailed', 'vendor')",3
"('00', '21')",3
"('issued', 'fcc')",3
"('rate', 'requirements')",3
"('tdm', 'fiber')",3
"('tax', 'allotment')",3
"('tier', 'vendor')",3
"('reviews', 'respective')",3
"('make', 'model')",3
"('4', 'agree')",3
"('request', 'supported')",3
"('entity', 'eligibility')",3
"('item', 'missing')",3
"('request', 'cell')",3
"('item', 'isdn')",3
"('clarification', 'duplicative')",3
"('item', 'ethernet')",3
"('151596', 'requesting')",3
"('district', 'court')",3
"('verification', 'connection')",3
"('district', 'brevard')",3
"('oc', 'n')",3
"('17008114', 'celerity')",3
"('therefore', 'extended')",3
"('changed', 'reference')",3
"('documentation', 'price')",3
"('17008117', 'celerity')",3
"('349', 'underlying')",3
"('charter', 'advanced')",3
"('discount', 'information')",3
"('item', 'detailed')",3
"('verification', 'fcc')",3
"('discount', 'support')",3
"('received', 'cellular')",3
"('received', 'frn')",3
"('discount', 'validation')",3
"('documentation', 'mr4')",3
"('verification', 'vendor')",3
"('item', 'clarification')",3
"('360', '00')",3
"('item', 'cable')",3
"('equipment', 'therefore')",3
"('determine', 'adherence')",3
"('rebid', 'contract')",3
"('evaluate', 'bids')",3
"('1699092691', 'new')",3
"('changed', '2')",3
"('rules', 'applicable')",3
"('changed', '3')",3
"('rather', 'month')",3
"('equipment', 'products')",3
"('ruled', 'part')",3
"('documentation', 'supporting')",3
"('octavia', 'charter')",3
"('device', 'messaging')",3
"('meet', 'e')",3
"('district', 'ruled')",3
"('tecnológico', 'de')",3
"('00', 'reflect')",3
"('router', 'equipment')",3
"('percentage', 'frn')",3
"('17', '2016')",3
"('17006592', 'inwood')",3
"('314', '205')",3
"('phase', 'discount')",3
"('phase', 'conduct')",3
"('therefore', 'ineligible')",3
"('documentation', 'e')",3
"('determined', 'applicant')",3
"('worksheets', 'provided')",3
"('15', 'recipients')",3
"('contract', 'include')",3
"('contract', 'dated')",3
"('learning', 'center')",3
"('21', 'vendor')",3
"('learning', 'ineligible')",3
"('line', 'agree')",3
"('contract', 'force')",3
"('month', 'service')",3
"('contract', 'compliance')",3
"('contract', 'meet')",3
"('requirements', 'specifically')",3
"('requirements', 'result')",3
"('requests', 'number')",3
"('line', 'access')",3
"('21', 'parent')",3
"('leadership', 'charter')",3
"('used', 'support')",3
"('requirements', 'required')",3
"('line', 'per')",3
"('unable', 'provide')",3
"('data', 'connection')",3
"('data', 'charges')",3
"('law', 'judge’s')",3
"('using', 'criteria')",3
"('order', 'reflect')",3
"('underlying', 'competitive')",3
"('due', 'failure')",3
"('requesting', 'products')",3
"('remove', 'bens')",3
"('due', 'documentation')",3
"('line', 'hunting')",3
"('ordered', 'brevard')",3
"('contract', 'amp')",3
"('original', 'contract')",3
"('criteria', 'process')",3
"('dr1', 'applicants')",3
"('part', 'case')",3
"('court', 'appeal')",3
"('143046663', 'competitive')",3
"('mr2', 'contract')",3
"('2019', '6')",3
"('court', 'also')",3
"('county', 'school')",3
"('00', 'mo')",3
"('cox', 'bid')",3
"('relationship', 'frn')",3
"('usac', 'modified')",3
"('2016', 'district')",3
"('yeshivaday', 'school')",3
"('costs', 'discount')",3
"('required', 'conduct')",3
"('correct', 'quantity')",3
"('205', '9030')",3
"('requests', 'proposals')",3
"('used', 'award')",3
"('mr2', 'establishing')",3
"('reflect', 'prices')",3
"('21', '520')",3
"('criteria', 'indicated')",3
"('part', 'evaluation')",3
"('reflect', 'voice')",3
"('copies', 'bids')",3
"('line', '7')",3
"('requirements', 'court')",3
"('copy', 'cox')",3
"('effectiveness', 'product')",3
"('requirements', 'cannot')",3
"('relying', 'voluntary')",3
"('corporation', 'frn')",3
"('type', 'service')",3
"('23', 'month')",3
"('referenced', 'form')",3
"('mr3', 'contract')",3
"('llc', 'cost')",3
"('llc', 'based')",3
"('requested', 'independent')",3
"('review', 'applicant')",3
"('recommendations', 'rebid')",3
"('lit', 'date')",3
"('compliance', 'florida')",3
"('dr1', 'separate')",3
"('listed', 'service')",3
"('result', 'voice')",3
"('de', 'suplidores')",3
"('comply', 'fcc')",3
"('comply', 'federal')",3
"('comply', 'florida')",3
"('entities', 'receiving')",3
"('month', 'arrangement')",3
"('2', 'lines')",3
"('representative', 'service')",3
"('1708116', 'celerity')",3
"('item', 'nslp')",3
"('vendor', 'using')",3
"('vendor', 'spin')",3
"('closed', 'based')",3
"('dr1', 'fiber')",3
"('vendor', 'requested')",3
"('local', 'competitive')",3
"('denied', 'brevard')",3
"('requested', 'dark')",3
"('titled', 'products')",3
"('entity', '151596')",3
"('vendor', 'doc')",3
"('commission', 'fcc')",3
"('comply', 'state')",3
"('de', 'la')",3
"('result', 'discount')",3
"('data', 'vendor')",3
"('key', 'line')",3
"('response', 'demonstrate')",3
"('response', 'administrator')",3
"('response', 'adhere')",3
"('eligible', 'costs')",3
"('la', 'cordillera')",3
"('mpls', 'internet')",3
"('conduct', 'fair')",3
"('dr3', 'description')",3
"('reference', 'contract')",3
"('data', 'plan')",3
"('las', 'vegas')",3
"('24', '2016')",3
"('type', 'network')",3
"('considered', 'specifically')",3
"('dr2', 'products')",3
"('judge’s', 'recommendations')",3
"('15', 'agree')",3
"('143025240', 'amp')",3
"('00', '2')",3
"('jon', 'baumgart')",3
"('email', 'amp')",3
"('troika', 'charter')",3
"('connection', 'type')",3
"('27', '840')",3
"('listed', 'application')",3
"('listed', 'bid')",3
"('conferencing', 'distance')",3
"('result', 'brevard’s')",3
"('validation', 'centro')",3
"('10', '17')",3
"('requirements', 'cost')",3
"('number', '314')",3
"('irving', 'campus')",3
"('model', 'equipment')",3
"('state', 'local')",3
"('service', 'remove')",3
"('8', '24')",3
"('fiber', 'ethernet')",3
"('providers', 'review')",3
"('provided', 'bid')",3
"('included', 'vendor')",3
"('80', 'mobile')",3
"('baumgart', 'phone')",3
"('mobility', 'added')",3
"('n', 'tdm')",3
"('80', '60')",3
"('sheet', 'usac')",3
"('fee', 'key')",3
"('state', 'law')",3
"('state', 'florida')",3
"('providers', 'price')",3
"('provided', 'contract')",3
"('based', 'information')",3
"('fiber', 'network')",3
"('527', '02')",3
"('fiber', 'oc')",3
"('include', 'provision')",3
"('77', 'per')",3
"('modified', '80')",3
"('769', '23')",3
"('verizon', 'wireless')",3
"('provided', 'month')",3
"('funding', 'program')",3
"('selection', 'worksheets')",3
"('price', 'considered')",3
"('sheet', 'requested')",3
"('50', 'per')",3
"('470', 'voice')",3
"('services', 'therefore')",3
"('services', 'vendor')",3
"('pots', 'local')",3
"('fcc', 'competitive')",3
"('84', 'per')",3
"('840', '00')",3
"('bid', 'tabulation')",3
"('1', '25')",3
"('advanced', 'services')",3
"('failure', 'comply')",3
"('students', 'located')",3
"('quality', 'service')",3
"('ineligible', 'portion')",3
"('modified', 'quantity')",3
"('ineligible', 'receive')",3
"('service', 'vendor')",3
"('bid', 'process')",3
"('bid', 'pri')",3
"('indicated', 'rfp')",3
"('modified', 'frn')",3
"('indicated', 'products')",3
"('indicated', 'evaluation')",3
"('adherence', 'competitive')",3
"('bens', '17008114')",3
"('independent', 'reviews')",3
"('scored', 'vendor')",3
"('administrative', 'law')",3
"('scores', 'given')",3
"('02', 'month')",3
"('administrator’s', 'cost')",3
"('sheet', 'explained')",3
"('provide', 'copy')",3
"('modified', '3')",3
"('1', 'copper')",3
"('authority', '17006592')",3
"('provider', '143025240')",3
"('applicant', 'relying')",3
"('messaging', 'dr2')",3
"('applicants', 'also')",3
"('service', 'frontier')",3
"('applicants', 'comply')",3
"('04', '04')",3
"('weighting', 'vendor')",3
"('authority', '16072034')",3
"('given', 'evaluation')",3
"('however', 'scores')",3
"('process', 'applicants')",3
"('garvanza', 'campus')",3
"('service', 'listed')",3
"('600', '00')",3
"('messaging', 'ineligible')",3
"('provider', '3')",3
"('prior', 'response')",3
"('applicant', 'mr2')",3
"('04', '2016')",3
"('12', 'recipients')",3
"('amp', 'corporation')",3
"('service', 'call')",3
"('greater', 'prices')",3
"('applicable', 'state')",3
"('amp', 'mobility')",3
"('appeal', 'state')",3
"('solution', 'therefore')",3
"('service', 'data')",3
"('analysis', 'analysis')",3
"('analysis', 'de')",3
"('provider', 'dr2')",3
"('frn', '1699092691')",3
"('provider', '04')",3
"('specifically', 'november')",3
"('prices', 'listed')",3
"('price', 'included')",3
"('provided', 'prior')",3
"('1', '2')",3
"('modified', '27')",3
"('ies', 'therefore')",3
"('separate', 'vendor')",3
"('5d15', '349')",3
"('service', '1')",3
"('modified', '0')",3
"('fifth', 'district')",3
"('also', 'ordered')",3
"('750', 'one')",3
"('price', 'type')",3
"('provided', 'scored')",3
"('modified', '2')",3
"('specifically', 'price')",3
"('75', 'month')",3
"('florida', 'competitive')",3
"('florida', 'fifth')",3
"('florida', 'state')",3
"('164', '527')",3
"('164', '769')",3
"('specifically', 'technical')",3
"('6', 'agree')",3
"('6', 'lines')",3
"('1', '4')",3
"('modified', '164')",3
"('60', 'agree')",3
"('provided', 'validate')",3
"('amount', '3')",3
"('bidding', 'period')",3
"('indicate', 'contractual')",3
"('call', 'forward')",3
"('month', '164')",3
"('extended', 'contract')",3
"('explained', 'price')",3
"('17003098', 'meet')",3
"('school', '1708116')",3
"('9030', 'representative')",3
"('12', '2')",3
"('call', 'forwarding')",3
"('470', 'cites')",3
"('excessive', 'cost')",3
"('services', 'apparent')",3
"('call', 'return')",3
"('suplidores', 'submitted')",3
"('information', 'usac')",3
"('access', 'verification')",3
"('extension', 'original')",3
"('properly', 'evaluate')",3
"('campus', 'agree')",3
"('470', 'fcc')",3
"('acquisition', 'llc')",3
"('achernar', 'charter')",3
"('brevard', 'failed')",3
"('brevard’s', 'failure')",3
"('470', 'frn')",3
"('services', 'rather')",3
"('frn', 'reduced')",3
"('90', 'month')",3
"('broadband', 'cost')",3
"('school', 'las')",3
"('school', 'irving')",3
"('school', 'garvanza')",3
"('factor', 'across')",3
"('factor', 'accurately')",3
"('campus', '17008117')",3
"('campus', 'school')",3
"('brevard', 'accept')",3
"('multi', 'tier')",3
"('accept', 'administrative')",3
"('academy', 'leadership')",3
"('internet', 'line')",3
"('supported', 'contract')",3
"('mo', 'recurring')",3
"('rules', 'per')",3
"('program', 'require')",3
"('november', '18')",3
"('frn', 'dr2')",3
"('mtm', 'contractual')",3
"('program', 'frn')",3
"('services', 'given')",3
"('inwood', 'academy')",3
"('1', '6')",3
"('evaluation', 'long')",3
"('frn', 'comply')",3
"('support', 'amount')",3
"('category', '2')",3
"('rate', 'frn')",3
"('missing', 'form')",3
"('frn', 'listed')",3
"('access', 'mr1')",3
"('case', '5d15')",3
"('wire', 'maintenance')",3
"('celerity', 'achernar')",3
"('frn', 'closed')",3
"('celerity', 'octavia')",3
"('celerity', 'troika')",3
"('wireless', 'cellco')",3
"('frn', 'indicate')",3
"('services', 'justified')",3
"('frn', 'frn')",3
"('brevard', 'county')",3
"('provider', 'ec')",3
"('across', 'tiers')",3
"('470', 'indicated')",3
"('factor', 'titled')",3
"('1', 'phone')",3
"('submitted', 'since')",3
"('470', 'requests')",3
"('services', 'rfp')",3
"('quantity', 'number')",3
"('bids', 'determine')",3
"('470', 'internet')",3
"('failed', 'comply')",3
"('1', '258')",2
"('mitigates', 'choice')",2
"('frn', 'support')",2
"('lines', '29')",2
"('mr1', 'according')",2
"('provider', '143001192')",2
"('number', 'hunting')",2
"('lines', 'voice')",2
"('documents', 'copies')",2
"('proposals', 'bidding')",2
"('list', 'information')",2
"('provided', 'service')",2
"('frn', 'ben')",2
"('documentation', 'entity')",2
"('moved', 'dupage')",2
"('documentation', 'eligibility')",2
"('1', '37')",2
"('frn', 'binghamton')",2
"('mo', 'voice')",2
